fecha,local,visitante,gl,gv,b365c_1,b365c_x,b365c_2,avgc_1,avgc_x,avgc_2,b365c_over25,b365c_under25
2026-03-22,Belgrano,Racing Club,1,2,,,,2.81,2.95,2.6,,
2026-03-22,Boca Juniors,Instituto,2,0,,,,1.6,3.42,6.13,,
2026-03-23,Ind. Rivadavia,Rosario Central,2,0,,,,2.64,2.85,2.86,,
2026-03-23,Estudiantes L.P.,Central Cordoba,5,0,,,,1.48,3.6,7.71,,
2026-03-23,Argentinos Jrs,Platense,1,0,,,,1.76,3.08,5.37,,
2026-03-24,Huracan,Barracas Central,0,0,,,,1.84,2.97,5.02,,
2026-03-25,Dep. Riestra,San Lorenzo,1,1,,,,2.41,2.65,3.51,,
2026-03-27,Argentinos Jrs,Lanus,2,1,,,,2.02,2.88,4.21,,
2026-03-31,Aldosivi,Argentinos Jrs,0,2,,,,4.8,3.1,1.82,,
2026-04-02,Lanus,Platense,0,0,,,,2.11,2.87,3.86,,
2026-04-02,Barracas Central,Sarmiento Junin,1,2,,,,2.36,2.74,3.42,,
2026-04-02,Tigre,Ind. Rivadavia,0,2,,,,2.15,2.99,3.58,,
2026-04-03,Talleres Cordoba,Boca Juniors,0,1,,,,2.43,2.86,3.11,,
2026-04-03,San Lorenzo,Estudiantes L.P.,1,0,,,,3.32,2.73,2.41,,
2026-04-03,Gimnasia Mendoza,Velez Sarsfield,3,2,,,,3.91,2.87,2.1,,
2026-04-03,Union de Santa Fe,Dep. Riestra,2,0,,,,1.83,3.07,4.79,,
2026-04-04,Independiente,Racing Club,1,0,,,,2.38,2.88,3.17,,
2026-04-04,Aldosivi,Estudiantes Rio Cuarto,0,0,,,,2.19,2.72,3.92,,
2026-04-05,Gimnasia L.P.,Huracan,0,3,,,,2.79,2.73,2.82,,
2026-04-05,River Plate,Belgrano,3,0,,,,1.69,3.39,5.2,,
2026-04-05,Rosario Central,Atl. Tucuman,2,1,,,,1.67,3.39,5.32,,
2026-04-06,Argentinos Jrs,Banfield,3,2,,,,1.61,3.55,5.77,,
2026-04-06,Central Cordoba,Newells Old Boys,1,3,,,,2.34,2.82,3.35,,
2026-04-07,Instituto,Defensa y Justicia,2,0,,,,1.95,3.1,4.08,,
2026-04-11,Boca Juniors,Independiente,1,1,,,,2.35,2.85,3.28,,
2026-04-11,Belgrano,Aldosivi,1,0,,,,1.46,3.72,8.04,,
2026-04-11,Ind. Rivadavia,Argentinos Jrs,3,1,,,,2.88,2.82,2.64,,
2026-04-11,Estudiantes L.P.,Union de Santa Fe,2,1,,,,2.44,2.75,3.25,,
2026-04-11,Dep. Riestra,Instituto,0,1,,,,2.72,2.66,2.95,,
2026-04-12,Platense,Gimnasia Mendoza,1,1,,,,2.3,2.76,3.58,,
2026-04-12,Estudiantes Rio Cuarto,Barracas Central,1,2,,,,2.28,2.71,3.65,,
2026-04-12,Newells Old Boys,San Lorenzo,0,0,,,,2.47,2.85,3.11,,
2026-04-12,Atl. Tucuman,Tigre,0,0,,,,2.37,2.89,3.24,,
2026-04-12,Huracan,Rosario Central,3,1,,,,2.33,2.78,3.42,,
2026-04-13,Defensa y Justicia,Talleres Cordoba,1,2,,,,2.91,2.73,2.7,,
2026-04-13,Racing Club,River Plate,0,2,,,,2.54,2.93,2.91,,
2026-04-13,Sarmiento Junin,Gimnasia L.P.,1,2,,,,2.63,2.76,2.95,,
2026-04-13,Lanus,Banfield,1,0,,,,1.86,3.08,4.63,,
2026-04-14,Velez Sarsfield,Central Cordoba,1,0,,,,1.35,4.29,9.73,,
2026-04-18,Union de Santa Fe,Newells Old Boys,2,3,,,,1.59,3.59,5.84,,
2026-04-18,Independiente,Defensa y Justicia,3,1,,,,1.75,3.23,5.06,,
2026-04-18,Instituto,Estudiantes L.P.,0,1,,,,2.5,2.91,2.98,,
2026-04-18,Gimnasia L.P.,Estudiantes Rio Cuarto,1,0,,,,1.79,3.14,4.92,,
2026-04-19,Argentinos Jrs,Atl. Tucuman,1,0,,,,1.59,3.59,5.78,,
2026-04-19,Aldosivi,Racing Club,1,1,,,,4.6,3.01,1.89,,
2026-04-19,River Plate,Boca Juniors,0,1,,,,2.22,2.93,3.51,,
2026-04-20,San Lorenzo,Velez Sarsfield,0,0,,,,3.01,2.81,2.56,,
2026-04-20,Central Cordoba,Platense,4,3,,,,3.55,2.76,2.29,,
2026-04-20,Banfield,Ind. Rivadavia,0,0,,,,2.51,2.92,2.97,,
2026-04-20,Barracas Central,Belgrano,0,0,,,,3.6,2.83,2.24,,
2026-04-20,Talleres Cordoba,Dep. Riestra,2,0,,,,1.65,3.23,6.18,,
2026-04-20,Rosario Central,Sarmiento Junin,2,1,,,,1.43,4.02,7.49,,
2026-04-21,Tigre,Huracan,1,1,,,,2.52,2.67,3.26,,
2026-04-21,Gimnasia Mendoza,Lanus,1,0,,,,3.13,2.68,2.6,,
2026-04-24,Dep. Riestra,Independiente,2,0,,,,3.69,2.81,2.2,,
2026-04-24,Defensa y Justicia,Boca Juniors,0,4,,,,3.03,2.85,2.49,,
2026-04-24,Lanus,Central Cordoba,0,0,,,,1.4,4.07,8.0,,
2026-04-24,Estudiantes Rio Cuarto,Rosario Central,1,2,,,,4.08,3.02,1.98,,
2026-04-25,Platense,San Lorenzo,0,1,,,,2.37,2.74,3.38,,
2026-04-25,Racing Club,Barracas Central,1,1,,,,1.42,4.01,7.78,,
2026-04-25,Estudiantes L.P.,Talleres Cordoba,0,0,,,,2.15,2.94,3.65,,
2026-04-25,Sarmiento Junin,Tigre,1,0,,,,3.49,2.8,2.28,,
2026-04-26,River Plate,Aldosivi,3,1,,,,1.24,4.82,14.44,,
2026-04-26,Ind. Rivadavia,Gimnasia Mendoza,5,1,,,,1.84,3.03,4.86,,
2026-04-26,Belgrano,Gimnasia L.P.,0,1,,,,2.04,2.95,4.0,,
2026-04-26,Newells Old Boys,Instituto,1,1,,,,2.98,2.92,2.45,,
2026-04-27,Velez Sarsfield,Union de Santa Fe,2,2,,,,2.16,3.04,3.45,,
2026-04-27,Atl. Tucuman,Banfield,1,1,,,,2.17,2.95,3.51,,
2026-04-28,Huracan,Argentinos Jrs,1,2,,,,2.84,2.65,2.84,,
2026-05-02,San Lorenzo,Independiente,1,2,,,,3.09,2.61,2.68,,
2026-05-02,Central Cordoba,Boca Juniors,1,2,,,,4.97,3.17,1.76,,
